pair_id,associated_dis,country,iso3,year,disaster_type,disaster_subtype,disaster_type_final,is_drought,is_earthquake,is_warm_anom,is_cold_anom,is_extreme_temp,is_flood,is_landslide,is_tropical,is_unknown_storm,is_convective_storm,minmax_intensity,X Intensity,int_drought,int_earthquake,int_extreme_temp,int_flood,int_landslide,int_tropical,int_unknown_storm,int_conv_storm,Richter,warm_anom,cold_anom,drought_days,extreme_temp_days,prcp_sum,elevation,fault_density,slope,road_density,mm_elevation,mm_fault_density,mm_slope,mm_road_density,X Elevation,X Fault Density,X Slope,X Road Density,msl_pressure,wind_speed,multi,Hazard Group,ln10_Total_Damage,Y Damage ($ ln10),hdi,le,eys,mys,gnipc,gdi,gii,phdi,mm_phdi,multi_phdi,single_phdi,X PHDI,X PPP,Economy,Code,Region,income_group,income_group2,Income Group,is_high_upper_middle,is_low_lower_middle,Lending category,Other (EMU or HIPC),ppp,mm_ppp,multi_ppp,single_ppp,CAPE,start_year_x,start_month_x,start_day_x,start_date,ny_date,dist_to_ny,end_year,end_month,end_day,duration_days,lat,lon
p1,,Tunisia,TUN,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.02,0.02,0,0,0,0.02,0,0,0,0,0,8.963444444,0,0,0,75.82,324.2701721,0.000018,1.563782811,83.63342285,0.07,0.23,0.07,0.02,0.07,0.23,0.07,0.02,0,0,0,Single Hazard,5.682094511,5.682094511,0.576,70.1103,10.47406006,3.466150007,5655.51495,0.78,0.558,0.551,0.55,0,0.55,0.551,0.1,Tunisia,TUN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,6292,0.1,0,0.1,2909.529306,1990,1,20,32893,32874,19,1990,2,1,13,34.65308603,9.332403608
p2,Tsunami/Tidal wave,Philippines,PHL,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0,0,0,0,7,27.07344444,0,0,0,63.6,196.5354462,0.00000752,2.995384216,167.5443115,0.04,0.09,0.13,0.04,0.04,0.09,0.13,0.04,0,0,1,Multi-hazard,3.251151343,3.251151343,0.598,65.9093,10.78757,7.178850174,4139.583826,0.931,0.52,0.585,0.61,0.61,0,0.585,0.04,Philippines,PHL,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,2886,0.04,0.04,0,2407.858148,1990,2,8,32912,32874,38,1990,2,8,1,9.001419741,124.4296312
p3,,Tanzania,TZA,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.17,0.17,0,0,0,0.17,0,0,0,0,0,25.846,0,0,0,510.51,364.811554,0,1.692884564,61.55090332,0.07,0,0.07,0.01,0.07,0,0.07,0.01,0,0,0,Single Hazard,2.744292983,2.744292983,0.371,51.4849,5.693888074,3.329101206,1343.355022,0.86,0.659,0.367,0.21,0,0.21,0.367,0.01,Tanzania,TZA,Sub-Saharan Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IDA,HIPC,804,0.01,0,0.01,7794.695192,1990,4,3,32966,32874,92,1990,4,10,8,-10.14269792,38.6511192
p4,,India,IND,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.61,0.61,0,0,0,0,0,0.61,0,0,0,32.05577778,0,0,0,927.69,108.8814011,0,1.870485187,275.2530518,0.02,0,0.08,0.07,0.02,0,0.08,0.07,101071.07,30.12,0,Single Hazard,6.060273913,6.060273913,0.434,58.6516,7.996357701,2.78157628,1790.407349,0.707,0.71,0.426,0.32,0,0.32,0.426,0.02,India,IND,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,1673,0.02,0,0.02,5828.86326,1990,5,9,33002,32874,128,1990,5,9,1,16.90290657,81.23736542
p5,,Turkey,TUR,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.07,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,226.31,1137.21582,0.00003,8.377602577,568.4061279,0.23,0.38,0.37,0.14,0.23,0.38,0.37,0.14,0,0,0,Single Hazard,5.472937733,5.472937733,0.6,67.7092,9.055789948,4.455356985,13000.46723,0.829,0.611,0.563,0.57,0,0.57,0.563,0.08,Türkiye,TUR,Europe & Central Asia,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,5338,0.08,0,0.08,2966.723086,1990,6,18,33042,32874,168,1990,6,21,4,40.56849547,39.27430934
p6,,Philippines,PHL,1990,flood,Flash flood,flood,0,0,0,0,0,1,0,0,0,0,0.17,0.17,0,0,0,0.17,0,0,0,0,0,0,0,0,0,520.59,86.94102478,0.00000782,2.130181789,78.5,0.02,0.1,0.09,0.02,0.02,0.1,0.09,0.02,0,0,0,Single Hazard,1.929418926,1.929418926,0.598,65.9093,10.78757,7.178850174,4139.583826,0.931,0.52,0.585,0.61,0,0.61,0.585,0.04,Philippines,PHL,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,2707,0.04,0,0.04,5430.140906,1990,6,17,33041,32874,167,1990,6,19,3,7.879626669,122.7415597
p7,"Slide (land, mud, snow, rock)",Iran,IRN,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0,0,0,0,7,0,0,0,0,6.54,1401.546021,0.0000212,7.234911442,63.17548752,0.28,0.27,0.32,0.02,0.28,0.27,0.32,0.02,0,0,1,Multi-hazard,7.199935959,7.199935959,0.601,64.3665,10.08364157,5.738566289,8631.088966,0.719,0.708,0.564,0.58,0.58,0,0.564,0.11,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,7327,0.11,0.11,0,1759.117269,1990,6,21,33045,32874,171,1990,6,21,1,37.24159932,48.51852292
p8,"Slide (land, mud, snow, rock)",Philippines,PHL,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0,0,0,0,0,0,8,0,0,0,0,126.17,334.8154297,0.0000434,6.071244717,314.0217285,0.07,0.55,0.27,0.08,0.07,0.55,0.27,0.08,0,0,1,Multi-hazard,5.864578119,5.864578119,0.598,65.9093,10.78757,7.178850174,4139.583826,0.931,0.52,0.585,0.61,0.61,0,0.585,0.04,Philippines,PHL,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,3080,0.04,0.04,0,5112.306899,1990,7,16,33070,32874,196,1990,7,16,1,15.98406936,120.6448632
p9,,Vietnam,VNM,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.08,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,254.06,294.6238098,0.0000127,5.873352528,327.1118774,0.06,0.16,0.26,0.08,0.06,0.16,0.26,0.08,0,0,0,Single Hazard,3.15715444,3.15715444,0.482,69.2127,7.841859818,4.101410613,1579.561078,0.934,0.41,0.476,0.41,0,0.41,0.476,0.02,Vietnam,VNM,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,1845,0.02,0,0.02,5523.285062,1990,6,20,33044,32874,170,1990,7,8,19,18.43755292,105.5705067
p10,,South Korea,KOR,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.56,0.56,0,0,0,0.56,0,0,0,0,0,18.28077778,0,0,0,1708.16,215.3916168,0,6.240347862,1149.499634,0.04,0,0.27,0.28,0.04,0,0.27,0.28,0,0,0,Single Hazard,4.876627686,4.876627686,0.737,71.9401,13.58104992,9.27328968,12641.31667,0.897,0.298,0.662,0.76,0,0.76,0.662,0.13,"Korea, Rep.",KOR,East Asia & Pacific,High income,High_income,High,1,0,,,8224,0.13,0,0.13,3017.380434,1990,9,11,33127,32874,253,1990,9,14,4,37.57096366,127.2367688
p11,,Iran,IRN,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0,0,0,0,7,17.37366667,0,0,0,0,1350.312744,0.0000144,5.825883865,69.60187531,0.27,0.18,0.26,0.02,0.27,0.18,0.26,0.02,0,0,0,Single Hazard,5.662894707,5.662894707,0.601,64.3665,10.08364157,5.738566289,8631.088966,0.719,0.708,0.564,0.58,0,0.58,0.564,0.13,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,8507,0.13,0,0.13,4665.378359,1990,11,6,33183,32874,309,1990,11,6,1,28.43247947,54.69121992
p12,,Philippines,PHL,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.52,0.52,0,0,0,0,0,0.52,0,0,0,0,0,0,0,882.17,90.76769257,0.0000073,2.398097992,258.1492004,0.02,0.09,0.11,0.06,0.02,0.09,0.11,0.06,101621.32,26.72,0,Single Hazard,5.886236843,5.886236843,0.598,65.9093,10.78757,7.178850174,4139.583826,0.931,0.52,0.585,0.61,0,0.61,0.585,0.06,Philippines,PHL,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,3989,0.06,0,0.06,3953.724322,1990,11,12,33189,32874,315,1990,11,16,5,10.96463723,122.7644284
p13,,Japan,JPN,1990,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.08,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,197.5,18.17105865,0.00000884,0.584486544,2417.895996,0,0.11,0.03,0.58,0,0.11,0.03,0.58,102683.25,24.17,0,Single Hazard,4.410794099,4.410794099,0.845,78.9838,13.01529026,11.6402998,35578.79714,0.951,0.162,0.7,0.83,0,0.83,0.7,0.45,Japan,JPN,East Asia & Pacific,High income,High_income,High,1,0,,,28183,0.45,0,0.45,955.1361299,1990,12,12,33219,32874,345,1990,12,12,1,35.44533659,140.3019848
p14,,United States,USA,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0,0,0,0,6,10.71066667,0,0,0,0.38,1206.624146,0.00000523,7.011418819,369.6746521,0.24,0.07,0.31,0.09,0.24,0.07,0.31,0.09,0,0,0,Single Hazard,4.400641586,4.400641586,0.872,75.3699,15.41786003,12.98377037,39472.3021,0.987,0.294,0.628,0.7,0,0.7,0.628,0.65,United States,USA,North America,High income,High_income,High,1,0,,,40634,0.65,0,0.65,535.1703722,1990,2,28,32932,32874,58,1990,2,28,1,37.24501172,-119.6076352
p15,,Pakistan,PAK,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0,0,0,0,6,15.11588889,0,0,0,0,1196.006104,0.0000437,4.321883678,63.41284561,0.24,0.55,0.19,0.02,0.24,0.55,0.19,0.02,0,0,0,Single Hazard,3.296884476,3.296884476,0.4,60.0656,4.626049995,2.291861259,2841.108123,0.537,0.811,0.393,0.26,0,0.26,0.393,0.06,Pakistan,PAK,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,Blend,,3775,0.06,0,0.06,438.7579998,1990,3,4,32936,32874,62,1990,3,4,1,27.49406146,65.73427776
p16,,Italy,ITA,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,5,0,0,0,0,261.82,205.221817,0.00000972,2.801739693,547.0565796,0.04,0.12,0.12,0.13,0.04,0.12,0.12,0.13,0,0,0,Single Hazard,5.995815894,5.995815894,0.778,76.9909,12.81748009,7.439056506,36208.56056,0.942,0.212,0.665,0.76,0,0.76,0.665,0.32,Italy,ITA,Europe & Central Asia,High income,High_income,High,1,0,,EMU,19905,0.32,0,0.32,469.8060519,1990,12,13,33220,32874,346,1990,12,13,1,37.25294826,14.99782827
p17,,United States,USA,1990,extreme temperature ,Cold wave,extreme temperature ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.46333333,0,1,70.11,363.9070129,0,0.922123909,327.6749878,0.07,0,0.04,0.08,0.07,0,0.04,0.08,0,0,0,Single Hazard,4.8989061,4.8989061,0.872,75.3699,15.41786003,12.98377037,39472.3021,0.987,0.294,0.628,0.7,0,0.7,0.628,0.54,United States,USA,North America,High income,High_income,High,1,0,,,33539,0.54,0,0.54,993.537668,1990,12,20,33227,32874,353,1990,12,20,1,41.97591497,-94.6245994
